ITEM_ID,ITEM_NAME,AVG_RATING,REVIEW_COUNT,L2_CATEGORY
215167,Mamaearth Onion Conditioner & Mama Earth Onion Hair Fall Control Shampoo 200 Ml,4.03,319,Shampoo And Conditioner
215167,Mamaearth Onion Conditioner & Mama Earth Onion Hair Fall Control Shampoo 200 Ml,4.03,319,Shampoo And Conditioner
619082,Elle 18 Color Pop Matte Lip Color|| P22|| Pink Stylist,4.78,316,Lip Makeup
619082,Elle 18 Color Pop Matte Lip Color|| P22|| Pink Stylist,4.78,316,Lip Makeup
299247,"Streax Root Touch Up Powder, Black, Covers Grey Hair & Bald Patches Instantly",4.39,306,Hair Colour
245790,Manforce Epic Aura Massager | 10 Vibration Modes,4.88,306,Sexual Wellness
245790,Manforce Epic Aura Massager | 10 Vibration Modes,4.88,306,Sexual Wellness
299247,"Streax Root Touch Up Powder, Black, Covers Grey Hair & Bald Patches Instantly",4.39,306,Hair Colour
989779,Sugar Cosmetics Makeup Trousseau Box + You Bella Organizer+ You Bella Gold Plated Multi Layer Necklace,4.44,304,Gift Packs
989779,Sugar Cosmetics Makeup Trousseau Box + You Bella Organizer+ You Bella Gold Plated Multi Layer Necklace,4.44,304,Gift Packs
501124,Tonymoly Clarifying Wonder Rice Smoothing Toner,4.71,302,Face Makeup
501124,Tonymoly Clarifying Wonder Rice Smoothing Toner,4.71,302,Face Makeup
395027,"Streax Gel Hair Colour For Women, Burgundy 3.16",2.86,301,Hair Colour
395027,"Streax Gel Hair Colour For Women, Burgundy 3.16",2.86,301,Hair Colour
651987,"Lakme Red Lip Mousse (Liquid, Full Coverage, Matte)",4.41,297,Lip Makeup
651987,"Lakme Red Lip Mousse (Liquid, Full Coverage, Matte)",4.41,297,Lip Makeup
